id,name,type
account.account_type_asset_view1,Asset View,other
account.data_account_type_asset,Asset,other
account.data_account_type_bank,Bank,other
account.data_account_type_cash,Cash,other
account.conf_account_type_chk,Check,other
account.conf_account_type_equity,Equity,other
account.data_account_type_expense,Expense,other
account.account_type_expense_view1,Expense View,other
account.data_account_type_income,Income,other
account.account_type_liability_view1,Liability View,other
account.data_account_type_liability,Liability,other
account.data_account_type_payable,Payable,payable
account.data_account_type_receivable,Receivable,receivable
account.conf_account_type_tax,Tax,other
account.account_type_income_view1,Income View,other
account.data_account_type_view,Root/View,other
l10n_co.account_type_selling_costs,Selling Costs,other
l10n_co.account_type_stock,Stock/Inventory,other
l10n_co.account_type_production_costs,Production Costs,other
l10n_co.account_type_auxiliaries,Auxiliary,other
