id,description,chart_template_id:id,type_tax_use,name,sequence,amount,price_include,amount_type,account_id:id,refund_account_id:id
tax_tem_com_cre4_gt_sle,Cre4‰>,l10n_co_chart_template_comercial,sale,Cree 4‰> - C,10,0.4,,percent,,
tax_tem_com_cre4_gt_bs_sle,Cre4‰>\,l10n_co_chart_template_comercial,sale,Cree 4‰>\ - C,12,-0.4,,percent,co_puc_com_236705,co_puc_com_236705
tax_tem_com_cre4_gt_s_sle,Cre4‰>/,l10n_co_chart_template_comercial,sale,Cree 4‰>/ - C,14,0.4,,percent,co_puc_com_236710,co_puc_com_236710
tax_tem_com_gmf4_gt_sle,Gmf4‰>,l10n_co_chart_template_comercial,sale,Gmf 4‰> - C,10,0.4,,percent,,
tax_tem_com_gmf4_gt_bs_sle,Gmf4‰>\,l10n_co_chart_template_comercial,sale,Gmf 4‰>\ - C,12,-0.4,,percent,co_puc_com_236705,co_puc_com_236705
tax_tem_com_gmf4_gt_s_sle,Gmf4‰>/,l10n_co_chart_template_comercial,sale,Gmf 4‰>/ - C,14,0.4,,percent,co_puc_com_236710,co_puc_com_236710
tax_tem_com_ica0_69_gt_sle,Ica0.69‰>,l10n_co_chart_template_comercial,sale,Ica 0.69‰> - C,20,0.69,,percent,,
tax_tem_com_ica0_69_gt_bs_sle,Ica0.69‰>\,l10n_co_chart_template_comercial,sale,Ica 0.69‰>\ - C,22,-0.69,,percent,co_puc_com_236705,co_puc_com_236705
tax_tem_com_ica0_69_gt_s_sle,Ica0.69‰>/,l10n_co_chart_template_comercial,sale,Ica 0.69‰>/ - C,24,0.69,,percent,co_puc_com_236710,co_puc_com_236710
tax_tem_com_inc4_gt_sle,Inc4%>,l10n_co_chart_template_comercial,sale,Consumo 4%> - C,30,4,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_com_inc8_gt_sle,Inc8%>,l10n_co_chart_template_comercial,sale,Consumo 8%> - C,40,8,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_com_inc4_lt_prc,Inc4%<,l10n_co_chart_template_comercial,purchase,Consumo 4%< - C,32,4,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_com_inc8_lt_prc,Inc8%<,l10n_co_chart_template_comercial,purchase,Consumo 8%< - C,42,8,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_com_iva5_gt_sle,Iva5%>,l10n_co_chart_template_comercial,sale,Iva 5%> - C,50,5,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_iva16_gt_sle,Iva16%>,l10n_co_chart_template_comercial,sale,Iva 16%> - C,60,16,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_iva19_gt_sle,Iva19%>,l10n_co_chart_template_comercial,sale,Iva 19%> - C,70,19,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_exe0_gt_sle,Exe0%>,l10n_co_chart_template_comercial,sale,Exento 0%> - C,80,0,,percent,,
tax_tem_com_exc0_gt_sle,Exc0%>,l10n_co_chart_template_comercial,sale,Excluido 0%> - C,82,0,,percent,,
tax_tem_com_iva0_gt_sle,Iva0%>,l10n_co_chart_template_comercial,sale,Iva 0%> - C,84,0,,percent,,
tax_tem_com_iva5_lt_prc,Iva5%<,l10n_co_chart_template_comercial,purchase,Iva 5%< - C,52,5,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_iva16_lt_prc,Iva16%<,l10n_co_chart_template_comercial,purchase,Iva 16%< - C,62,16,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_iva19_lt_prc,Iva19%<,l10n_co_chart_template_comercial,purchase,Iva 19%< - C,72,19,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_exe0_lt_prc,Exe0%<,l10n_co_chart_template_comercial,purchase,Exento 0%< - C,82,0,,percent,,
tax_tem_com_exc0_lt_prc,Exc0%<,l10n_co_chart_template_comercial,purchase,Excluido 0%< - C,92,0,,percent,,
tax_tem_com_iva0_lt_prc,Iva0%<,l10n_co_chart_template_comercial,purchase,Iva 0%< - C,102,0,,percent,,
tax_tem_com_sp_inc4_gt_sle,[Inc4%>],l10n_co_chart_template_comercial,sale,[Consumo 4%>] - C,34,4,TRUE,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_com_sp_inc8_gt_sle,[Inc8%>],l10n_co_chart_template_comercial,sale,[Consumo 8%>] - C,44,8,TRUE,percent,co_puc_com_249510,co_puc_com_249510
